variant,seed,dataset,data_loading_option,model_type,num_clients,beta,hop,use_pe,fulltraining_flag,repetition,fl_round,avg_client_val_acc,avg_client_val_loss,best_eval_acc_so_far,best_eval_loss_so_far,patience,round_time_s,global_test_acc
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,22,0.6000751292060372,1.3170774698257446,0.6000751292060372,1.343507969379425,0,0.868,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,23,0.5947806429904985,1.3052560210227966,0.6000751292060372,1.3052560210227966,0,0.876,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,24,0.5982894149203231,1.2961946964263915,0.6000751292060372,1.2961946964263915,0,0.889,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,25,0.5943902576397136,1.2886376619338988,0.6000751292060372,1.2886376619338988,0,0.882,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,26,0.5943902576397136,1.283363652229309,0.6000751292060372,1.283363652229309,0,0.884,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,27,0.5961759719254279,1.2790560126304626,0.6000751292060372,1.2790560126304626,0,0.874,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,28,0.5962084394578955,1.2726890563964843,0.6000751292060372,1.2726890563964843,0,0.873,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,29,0.5979941537436096,1.2676004409790038,0.6000751292060372,1.2676004409790038,0,0.881,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,30,0.5939862172356732,1.2583773493766786,0.6000751292060372,1.2583773493766786,0,0.887,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,31,0.5920150291027394,1.2572457432746886,0.6000751292060372,1.2572457432746886,0,0.878,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,32,0.5938007433884536,1.2531545639038086,0.6000751292060372,1.2531545639038086,0,0.878,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,33,0.5913303906774077,1.248724925518036,0.6000751292060372,1.248724925518036,0,0.871,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,34,0.5915551293533657,1.2459526777267456,0.6000751292060372,1.2459526777267456,0,0.878,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,35,0.5897694150676516,1.2434131622314453,0.6000751292060372,1.2434131622314453,0,0.864,
baseline,2,Cora,zero_hop,GCN,10,10000,1,False,False,1,36,0.5875147253129618,1.237232792377472,0.6000751292060372,1.237232792377472,0,0.869,
